tensor(1.7895)
tensor(1.7655)
tensor(1.7370)
tensor(1.6937)
tensor(1.6564)
tensor(1.5684)
tensor(1.5397)
tensor(1.3264)
tensor(1.2280)
tensor(1.2353)
tensor(1.3039)
tensor(0.7349)
tensor(1.0727)
tensor(0.8816)
tensor(0.7021)
tensor(0.7868)
tensor(1.3308)
tensor(0.6198)
tensor(0.2489)
tensor(0.7454)
tensor(0.2040)
tensor(0.7470)
tensor(0.6920)
tensor(0.8954)
tensor(0.1534)
tensor(0.1145)
tensor(0.0885)
tensor(0.0524)
tensor(0.5191)
tensor(0.2396)
